prism:url	dc:identifier	dc:title	prism:publicationName	prism:coverDate	citedby-count	affiliation	institution_1	country_1	fundus_in_title	pub_year	abstract
https://api.elsevier.com/content/abstract/scopus_id/85101803707	SCOPUS_ID:85101803707	Hierarchical deep learning models using transfer learning for disease detection and classification based on small number of medical images	Scientific Reports	2021-12-01	0	TOPCON Corporation, Tokyo, Japan++Riken, Wako, Japan++Kobe University, Kobe, Japan	TOPCON Corporation	Japan	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85101803707
https://api.elsevier.com/content/abstract/scopus_id/85098987687	SCOPUS_ID:85098987687	Convolutional autoencoder based model HistoCAE for segmentation of viable tumor regions in liver whole-slide images	Scientific Reports	2021-12-01	0	Stony Brook University, Stony Brook, United States	Stony Brook University	United States	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85098987687
https://api.elsevier.com/content/abstract/scopus_id/85103431483	SCOPUS_ID:85103431483	Multi-task weak supervision enables anatomically-resolved abnormality detection in whole-body FDG-PET/CT	Nature Communications	2021-12-01	0	Stanford University, Palo Alto, United States	Stanford University	United States	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85103431483
https://api.elsevier.com/content/abstract/scopus_id/85101220241	SCOPUS_ID:85101220241	An annotation-free whole-slide training approach to pathological classification of lung cancer types using deep learning	Nature Communications	2021-12-01	0	Taipei Medical University, Taipei, Taiwan	Taipei Medical University	Taiwan	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85101220241
https://api.elsevier.com/content/abstract/scopus_id/85103426488	SCOPUS_ID:85103426488	Predicting treatment response from longitudinal images using multi-task deep learning	Nature Communications	2021-12-01	0	Stanford University School of Medicine, Stanford, United States	Stanford University School of Medicine	United States	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85103426488
https://api.elsevier.com/content/abstract/scopus_id/85100568198	SCOPUS_ID:85100568198	Multimodal deep learning models for early detection of Alzheimer’s disease stage	Scientific Reports	2021-12-01	0	Georgia Institute of Technology, Atlanta, United States	Georgia Institute of Technology	United States	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85100568198
https://api.elsevier.com/content/abstract/scopus_id/85099634225	SCOPUS_ID:85099634225	Evolutionary shuffled frog leaping with memory pool for parameter optimization	Energy Reports	2021-11-01	0	Wenzhou University, Wenzhou, China	Wenzhou University	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85099634225
https://api.elsevier.com/content/abstract/scopus_id/85101906785	SCOPUS_ID:85101906785	A review of multimodal image matching: Methods and applications	Information Fusion	2021-09-01	0	Wuhan University, Wuhan, China	Wuhan University	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85101906785
https://api.elsevier.com/content/abstract/scopus_id/85103387308	SCOPUS_ID:85103387308	Cross-attention multi-branch network for fundus diseases classification using SLO images	Medical Image Analysis	2021-07-01	0	Shenzhen University, Shenzhen, China	Shenzhen University	China	1	2021	https://api.elsevier.com/content/abstract/scopus_id/85103387308
https://api.elsevier.com/content/abstract/scopus_id/85100778682	SCOPUS_ID:85100778682	Deep convolutional neural network architecture design as a bi-level optimization problem	Neurocomputing	2021-06-07	0	Institut Supérieur de Gestion de Tunis, Le Bardo, Tunisia	Institut Supérieur de Gestion de Tunis	Tunisia	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85100778682
