,prism:url,dc:identifier,dc:title,prism:publicationName,prism:coverDate,citedby-count,affiliation,institution_1,country_1,fundus_in_title,pub_year,abstract,ctype
0,https://api.elsevier.com/content/abstract/scopus_id/85101803707,SCOPUS_ID:85101803707,Hierarchical deep learning models using transfer learning for disease detection and classification based on small number of medical images,Scientific Reports,2021-12-01,0,"TOPCON Corporation, Tokyo, Japan++Riken, Wako, Japan++Kobe University, Kobe, Japan",TOPCON Corporation,Japan,0,2021,https://api.elsevier.com/content/abstract/scopus_id/85101803707,Fundus multi-disease
1,https://api.elsevier.com/content/abstract/scopus_id/85098987687,SCOPUS_ID:85098987687,Convolutional autoencoder based model HistoCAE for segmentation of viable tumor regions in liver whole-slide images,Scientific Reports,2021-12-01,0,"Stony Brook University, Stony Brook, United States",Stony Brook University,United States,0,2021,https://api.elsevier.com/content/abstract/scopus_id/85098987687,Fundus multi-disease
2,https://api.elsevier.com/content/abstract/scopus_id/85103431483,SCOPUS_ID:85103431483,Multi-task weak supervision enables anatomically-resolved abnormality detection in whole-body FDG-PET/CT,Nature Communications,2021-12-01,0,"Stanford University, Palo Alto, United States",Stanford University,United States,0,2021,https://api.elsevier.com/content/abstract/scopus_id/85103431483,Fundus multi-disease
3,https://api.elsevier.com/content/abstract/scopus_id/85101220241,SCOPUS_ID:85101220241,An annotation-free whole-slide training approach to pathological classification of lung cancer types using deep learning,Nature Communications,2021-12-01,0,"Taipei Medical University, Taipei, Taiwan",Taipei Medical University,Taiwan,0,2021,https://api.elsevier.com/content/abstract/scopus_id/85101220241,Fundus multi-disease
4,https://api.elsevier.com/content/abstract/scopus_id/85103426488,SCOPUS_ID:85103426488,Predicting treatment response from longitudinal images using multi-task deep learning,Nature Communications,2021-12-01,0,"Stanford University School of Medicine, Stanford, United States",Stanford University School of Medicine,United States,0,2021,https://api.elsevier.com/content/abstract/scopus_id/85103426488,Fundus multi-disease
5,https://api.elsevier.com/content/abstract/scopus_id/85100568198,SCOPUS_ID:85100568198,Multimodal deep learning models for early detection of Alzheimer’s disease stage,Scientific Reports,2021-12-01,0,"Georgia Institute of Technology, Atlanta, United States",Georgia Institute of Technology,United States,0,2021,https://api.elsevier.com/content/abstract/scopus_id/85100568198,Fundus multi-disease
6,https://api.elsevier.com/content/abstract/scopus_id/85099634225,SCOPUS_ID:85099634225,Evolutionary shuffled frog leaping with memory pool for parameter optimization,Energy Reports,2021-11-01,0,"Wenzhou University, Wenzhou, China",Wenzhou University,China,0,2021,https://api.elsevier.com/content/abstract/scopus_id/85099634225,Fundus multi-disease
7,https://api.elsevier.com/content/abstract/scopus_id/85101906785,SCOPUS_ID:85101906785,A review of multimodal image matching: Methods and applications,Information Fusion,2021-09-01,0,"Wuhan University, Wuhan, China",Wuhan University,China,0,2021,https://api.elsevier.com/content/abstract/scopus_id/85101906785,Fundus multi-disease
8,https://api.elsevier.com/content/abstract/scopus_id/85103387308,SCOPUS_ID:85103387308,Cross-attention multi-branch network for fundus diseases classification using SLO images,Medical Image Analysis,2021-07-01,0,"Shenzhen University, Shenzhen, China",Shenzhen University,China,1,2021,https://api.elsevier.com/content/abstract/scopus_id/85103387308,Fundus multi-disease
9,https://api.elsevier.com/content/abstract/scopus_id/85100778682,SCOPUS_ID:85100778682,Deep convolutional neural network architecture design as a bi-level optimization problem,Neurocomputing,2021-06-07,0,"Institut Supérieur de Gestion de Tunis, Le Bardo, Tunisia",Institut Supérieur de Gestion de Tunis,Tunisia,0,2021,https://api.elsevier.com/content/abstract/scopus_id/85100778682,Fundus multi-disease
10,https://api.elsevier.com/content/abstract/scopus_id/85103236272,SCOPUS_ID:85103236272,A Statistician Teaches Deep Learning,Journal of Statistical Theory and Practice,2021-06-01,0,"Pennsylvania State University, University Park, United States",Pennsylvania State University,United States,0,2021,https://api.elsevier.com/content/abstract/scopus_id/85103236272,Fundus multi-disease
11,https://api.elsevier.com/content/abstract/scopus_id/85101745862,SCOPUS_ID:85101745862,Deep learning for biomedical photoacoustic imaging: A review,Photoacoustics,2021-06-01,1,"German Cancer Research Center, Heidelberg, Germany++Universität Heidelberg, Heidelberg, Germany",German Cancer Research Center,Germany,0,2021,https://api.elsevier.com/content/abstract/scopus_id/85101745862,Fundus multi-disease
12,https://api.elsevier.com/content/abstract/scopus_id/85100397565,SCOPUS_ID:85100397565,Promises and pitfalls of deep neural networks in neuroimaging-based psychiatric research,Experimental Neurology,2021-05-01,0,"Bernstein Center for Computational Neuroscience Berlin, Berlin, Germany++Charité – Universitätsmedizin Berlin, Berlin, Germany",Bernstein Center for Computational Neuroscience Berlin,Germany,0,2021,https://api.elsevier.com/content/abstract/scopus_id/85100397565,Fundus multi-disease
13,https://api.elsevier.com/content/abstract/scopus_id/85100053052,SCOPUS_ID:85100053052,Applications of deep learning in fundus images: A review,Medical Image Analysis,2021-04-01,0,"Nankai University, Tianjin, China",Nankai University,China,1,2021,https://api.elsevier.com/content/abstract/scopus_id/85100053052,Fundus multi-disease
14,https://api.elsevier.com/content/abstract/scopus_id/85100306809,SCOPUS_ID:85100306809,Learning-based algorithms for vessel tracking: A review,Computerized Medical Imaging and Graphics,2021-04-01,0,"Shanghai Jiao Tong University, Shanghai, China",Shanghai Jiao Tong University,China,0,2021,https://api.elsevier.com/content/abstract/scopus_id/85100306809,Fundus multi-disease
15,https://api.elsevier.com/content/abstract/scopus_id/85100376413,SCOPUS_ID:85100376413,Towards evaluating the robustness of deep diagnostic models by adversarial attack,Medical Image Analysis,2021-04-01,0,"Nanjing University of Aeronautics and Astronautics, Nanjing, China",Nanjing University of Aeronautics and Astronautics,China,0,2021,https://api.elsevier.com/content/abstract/scopus_id/85100376413,Fundus multi-disease
16,https://api.elsevier.com/content/abstract/scopus_id/85084231170,SCOPUS_ID:85084231170,Cascaded MultiTask 3-D Fully Convolutional Networks for Pancreas Segmentation,IEEE Transactions on Cybernetics,2021-04-01,3,"The University of North Carolina at Chapel Hill, Chapel Hill, United States++Shandong Normal University, Jinan, China",The University of North Carolina at Chapel Hill,United States,0,2021,https://api.elsevier.com/content/abstract/scopus_id/85084231170,Fundus multi-disease
17,https://api.elsevier.com/content/abstract/scopus_id/85098790137,SCOPUS_ID:85098790137,Deep learning visual analysis in laparoscopic surgery: a systematic review and diagnostic test accuracy meta-analysis,Surgical Endoscopy,2021-04-01,0,"Chaim Sheba Medical Center Israel, Tel Aviv-Yafo, Israel++Tel Aviv University, Tel Aviv-Yafo, Israel",Chaim Sheba Medical Center Israel,Israel,0,2021,https://api.elsevier.com/content/abstract/scopus_id/85098790137,Fundus multi-disease
18,https://api.elsevier.com/content/abstract/scopus_id/85103279104,SCOPUS_ID:85103279104,Novel transfer learning approach for medical imaging with limited labeled data,Cancers,2021-04-01,0,"University of Information Technology and Communications, Baghdad, Iraq++Queensland University of Technology, Brisbane, Australia",University of Information Technology and Communications,Iraq,0,2021,https://api.elsevier.com/content/abstract/scopus_id/85103279104,Fundus multi-disease
19,https://api.elsevier.com/content/abstract/scopus_id/85100666740,SCOPUS_ID:85100666740,A survey on incorporating domain knowledge into deep learning for medical image analysis,Medical Image Analysis,2021-04-01,0,"Beihang University, Beijing, China",Beihang University,China,0,2021,https://api.elsevier.com/content/abstract/scopus_id/85100666740,Fundus multi-disease
20,https://api.elsevier.com/content/abstract/scopus_id/85102411740,SCOPUS_ID:85102411740,Generative adversarial networks and their application to 3D face generation: A survey,Image and Vision Computing,2021-04-01,0,"Inha University, Incheon, Incheon, South Korea","Inha University, Incheon",South Korea,0,2021,https://api.elsevier.com/content/abstract/scopus_id/85102411740,Fundus multi-disease
21,https://api.elsevier.com/content/abstract/scopus_id/85099975857,SCOPUS_ID:85099975857,Weighted ensemble networks for multiview based tiny object quality assessment,Concurrency Computation,2021-03-25,0,"China General Nuclear Power Corporation, Shenzhen, China",China General Nuclear Power Corporation,China,0,2021,https://api.elsevier.com/content/abstract/scopus_id/85099975857,Fundus multi-disease
22,https://api.elsevier.com/content/abstract/scopus_id/85100223187,SCOPUS_ID:85100223187,Image classification with deep learning in the presence of noisy labels: A survey,Knowledge-Based Systems,2021-03-05,1,"ASELSAN A.Ş., Yenimahalle, Turkey",ASELSAN A.Ş.,Turkey,0,2021,https://api.elsevier.com/content/abstract/scopus_id/85100223187,Fundus multi-disease
23,https://api.elsevier.com/content/abstract/scopus_id/85103475543,SCOPUS_ID:85103475543,Classification and predictions of lung diseases from chest x‐ rays using mobilenet v2,Applied Sciences (Switzerland),2021-03-02,0,"Université de Gabès, -, Tunisia",Université de Gabès,Tunisia,0,2021,https://api.elsevier.com/content/abstract/scopus_id/85103475543,Fundus multi-disease
24,https://api.elsevier.com/content/abstract/scopus_id/85097868790,SCOPUS_ID:85097868790,Classification of retinal images based on convolutional neural network,Microscopy Research and Technique,2021-03-01,0,"Minia University, Minia, Egypt",Minia University,Egypt,0,2021,https://api.elsevier.com/content/abstract/scopus_id/85097868790,Fundus multi-disease
25,https://api.elsevier.com/content/abstract/scopus_id/85097345174,SCOPUS_ID:85097345174,Glaucoma diagnosis in the Chinese context: An uncertainty information-centric Bayesian deep learning model,Information Processing and Management,2021-03-01,0,"Hefei University of Technology, Hefei, China++The MOE Key Laboratory of Process Optimization and Intelligent Decision-making, Hefei, China",Hefei University of Technology,China,0,2021,https://api.elsevier.com/content/abstract/scopus_id/85097345174,Fundus multi-disease
26,https://api.elsevier.com/content/abstract/scopus_id/85100313831,SCOPUS_ID:85100313831,Differential artery-vein analysis in quantitative retinal imaging: A review,Quantitative Imaging in Medicine and Surgery,2021-03-01,0,-,-,-,0,2021,https://api.elsevier.com/content/abstract/scopus_id/85100313831,Fundus multi-disease
